"ITEM_ID","MSID","DD_SIC","ITEM_NAME","BUSINESS_NAME","CATEGORY","HAS_IMAGE","PHOTO_URL","AVG_ITEM_PRICE","ITEM_VOLUME","AVG_PICK_TIME_MIN","ATCR_PCT","PRE_SUB_INF_PCT"
"799015_43739201","43739201","urpc_3a460238-172f-4ad0-b86a-e70540a6a4a7","Reese's Milk Chocolate Peanut Butter Easter Egg Candies Snack Size (7.2 oz)","Dollar General","Candy","Yes","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/672894fc-8115-4057-8477-9466d70f45da-retina-large.jpg",500.00,4449,1.81,2.11,16.75
"799015_43740801","43740801","urpc_07105b99-35b3-4e15-ab18-1da3f10aef88","Whoppers Robin Eggs Easter Mini Malted Milk Candy in a Crunchy Shell Bag (9 oz)","Dollar General","Candy","Yes","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/cb0e66bb-467a-4dc7-ad86-7627fba6c08d-retina-large.jpg",350.00,3384,1.77,1.55,23.49
"799015_00880502","00880502","urpc_84aa2f60-08b3-447b-b2a1-7a7d91ec3b08","Campbell's Condensed Dry Egg Recipe Chicken Noodle Soup (13.8 oz)","Dollar General","Pantry","Yes","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/6f82680d-60c5-4101-aef3-340cbc48d93d-retina-large.jpg",125.04,3119,1.14,2.47,4.39
"799015_30946601_NONWI_2O","30946601_NONWI_2O","ugp_4e7d0320-d32f-4944-8f7b-36c22dbe70b2","Reese's Milk Chocolate Peanut Butter Snack Size Easter Candy Pack (2 oz)","Dollar General","Candy","Yes","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/6693c47a-afd8-4378-80db-57ecba1b8542-retina-large.png",125.00,2513,1.82,2.49,23.96
"799015_01561301","01561301","urpc_960c0da6-4631-45b7-9819-e64f89f2f05d","Little Debbie Vanilla Easter Basket Cakes (10 ct)","Dollar General","Snacks","Yes","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/95095442-1ed3-42b9-93fc-b7a984a812e2-retina-large.png",315.00,2466,1.24,3.08,34.55
"799015_02944302","02944302","urpc_553d8529-863a-4688-84b9-651ae414d6bb","Jimmy Dean Sausage Egg & Cheese Croissant Frozen Breakfast Sandwiches 4 ct (18 oz)","Dollar General","Frozen","Yes","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/9f0a2e19-5a70-4e4d-be7f-b528a8d04631-retina-large.png",747.40,2380,0.99,1.92,10.29
"799015_43739101","43739101","ugp_e288d845-728d-40c1-ac17-603fabbf57bd","Cadbury Mini Eggs Milk Chocolate Easter Candy (7.3 oz)","Dollar General","Candy","Yes","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/ae65ae32-68cf-41ea-9819-ece1d2ae8386-retina-large.png",500.00,2305,1.81,2.19,25.12
"799015_01561101","01561101","urpc_65d9a400-2dbf-461d-a4bf-47fe821aa6cf","Little Debbie Chocolate Easter Basket Cakes (10 ct)","Dollar General","Snacks","Yes","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/91a607a3-9b10-473a-973e-f08bccb672ba-retina-large.png",315.00,1868,1.22,2.60,32.33
"799015_24597301","24597301","urpc_197918f5-5587-4c31-a730-2272222c35a0","Eggo Cinnamon French Toaster Sticks Box (32 ct)","Dollar General","Frozen","Yes","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/26981ee7-7df2-478b-8bca-fde0ae4440e0-retina-large.jpg",347.96,1785,0.94,1.57,9.30
"799015_02942301","02942301","urpc_a24c8d7a-874f-42a4-8aea-02fd7cfba151","Eggo Frozen Blueberry Waffles 10 ct (12.3 oz)","Dollar General","Frozen","Yes","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/449f4796-85f0-4c64-a155-5e43ba3fad6e-retina-large.jpg",347.78,1776,0.87,1.95,7.43
